ID=    1, predicted=         8, true=         8, accuracy=1.00
ID=    2, predicted=         8, true=         8, accuracy=1.00
ID=    3, predicted=         8, true=         8, accuracy=1.00
ID=    4, predicted=         9, true=         9, accuracy=1.00
ID=    5, predicted=         9, true=         9, accuracy=1.00
ID=    6, predicted=         1, true=         1, accuracy=1.00
ID=    7, predicted=         4, true=         4, accuracy=1.00
ID=    8, predicted=         1, true=         7, accuracy=0.00
ID=    9, predicted=         9, true=         9, accuracy=1.00
ID=   10, predicted=         9, true=         9, accuracy=1.00
ID=   11, predicted=         9, true=         9, accuracy=1.00
ID=   12, predicted=         0, true=         0, accuracy=1.00
ID=   13, predicted=         2, true=         2, accuracy=1.00
ID=   14, predicted=         0, true=         0, accuracy=1.00
ID=   15, predicted=         5, true=         5, accuracy=1.00
ID=   16, predicted=         9, true=         9, accuracy=1.00
ID=   17, predicted=         3, true=         3, accuracy=1.00
ID=   18, predicted=         7, true=         7, accuracy=1.00
ID=   19, predicted=         0, true=         0, accuracy=1.00
ID=   20, predicted=         4, true=         4, accuracy=1.00
ID=   21, predicted=         6, true=         6, accuracy=1.00
ID=   22, predicted=         8, true=         8, accuracy=1.00
ID=   23, predicted=         7, true=         7, accuracy=1.00
ID=   24, predicted=         6, true=         6, accuracy=1.00
ID=   25, predicted=         6, true=         6, accuracy=1.00
ID=   26, predicted=         0, true=         0, accuracy=1.00
ID=   27, predicted=         4, true=         4, accuracy=1.00
ID=   28, predicted=         0, true=         0, accuracy=1.00
ID=   29, predicted=         4, true=         4, accuracy=1.00
ID=   30, predicted=         1, true=         1, accuracy=1.00
ID=   31, predicted=         9, true=         9, accuracy=1.00
ID=   32, predicted=         3, true=         3, accuracy=1.00
ID=   33, predicted=         5, true=         5, accuracy=1.00
ID=   34, predicted=         4, true=         4, accuracy=1.00
ID=   35, predicted=         4, true=         4, accuracy=1.00
ID=   36, predicted=         1, true=         1, accuracy=1.00
ID=   37, predicted=         1, true=         1, accuracy=1.00
ID=   38, predicted=         0, true=         0, accuracy=1.00
ID=   39, predicted=         9, true=         9, accuracy=1.00
ID=   40, predicted=         7, true=         7, accuracy=1.00
ID=   41, predicted=         8, true=         8, accuracy=1.00
ID=   42, predicted=         9, true=         3, accuracy=0.00
ID=   43, predicted=         5, true=         5, accuracy=1.00
ID=   44, predicted=         6, true=         6, accuracy=1.00
ID=   45, predicted=         0, true=         0, accuracy=1.00
